"INTERPOLATED_REV01#1_x","INTERPOLATED_REV01#1_y"
0,69.221981,
0.2204781256,69.098758,
0.4409562512,69.009488,
0.6614343768,68.972065,
0.8819125023,68.94824,
1.102390628,68.934333,
1.322868754,68.910507,
1.543346879,68.896601,
1.763825005,68.872775,
1.98430313,68.858869,
2.204781256,68.835043,
2.425259381,68.821136,
2.645737507,68.79731,
2.866215633,68.773484,
3.086693758,68.759578,
3.307171884,68.735752,
3.527650009,68.721846,
3.748128135,68.69802,
3.968606261,68.684113,
4.189084386,68.660288,
4.409562512,68.646358,
4.630040637,68.622555,
4.850518763,68.608446,
5.070996888,68.584745,
5.291475014,68.560997,
5.51195314,68.546833,
5.732431265,68.523133,
5.952909391,68.508921,
6.173387516,68.485221,
6.393865642,68.45948,
6.614343768,68.361595,
6.834821893,68.170142,
7.055300019,68.072256,
7.275778144,67.880803,
7.49625627,67.782918,
7.716734396,67.685032,
7.937212521,67.493579,
8.157690647,67.395693,
8.378168772,67.204241,
8.598646898,67.106355,
8.819125023,66.914902,
9.039603149,66.816967,
9.260081275,66.622036,
9.4805594,66.523428,
9.701037526,66.328497,
9.921515651,66.198455,
10.14199378,66.000776,
10.3624719,65.864141,
10.58295003,65.738697,
10.80342815,65.535119,
11.02390628,65.409674,
11.2443844,65.206096,
11.46486253,65.080652,
11.68534066,64.877073,
11.90581878,64.751629,
12.12629691,64.548051,
12.34677503,64.422606,
12.56725316,64.219028,
12.60311261,64.297162,
